txn_date,total_outstanding,total_credit_limit,total_account,npl_account,npl_roll_account,dpd_01_30_account,dpd_01_30_roll_account,dpd_31_60_account,dpd_31_60_roll_account,dpd_61_90_account,dpd_61_90_roll_account,dpd_90_account,dpd_90_roll_account
2026-01-01,444620180,1482750600,121845,846,0,7315,0,2392,0,1168,0,846,0
2026-01-02,445310955,1483105240,121902,848,2,7344,29,2401,9,1171,3,848,2
2026-01-03,446125610,1483620115,121950,851,3,7386,42,2410,9,1176,5,851,3
2026-01-04,447280340,1483955880,121988,853,2,7430,44,2418,8,1180,4,853,2
2026-01-05,446905775,1484210500,122030,855,2,7410,-20,2425,7,1182,2,855,2
2026-01-06,446210660,1484525930,122012,856,1,7365,-45,2432,7,1185,3,856,1
2026-01-07,446980905,1484880420,122070,857,1,7382,17,2438,6,1187,2,857,1
2026-01-08,447650120,1485220860,122115,860,3,7410,28,2445,7,1189,2,860,3
2026-01-09,448410330,1485605710,122160,861,1,7455,45,2456,11,1193,4,861,1
2026-01-10,449220885,1486010980,122198,863,2,7498,43,2468,12,1196,3,863,2
2026-01-11,450105240,1486455600,122245,865,2,7545,47,2478,10,1200,4,865,2
2026-01-12,449650775,1486690340,122280,866,1,7520,-25,2486,8,1201,1,866,1
2026-01-13,448980110,1486980920,122310,867,1,7465,-55,2492,6,1203,2,867,1
2026-01-14,448210560,1487315450,122355,868,1,7420,-45,2498,6,1206,3,868,1
2026-01-15,445980335,1487640770,122400,865,-3,7305,-115,2480,-18,1198,-8,865,-3
2026-01-16,446410220,1487955100,122438,866,1,7318,13,2486,6,1199,1,866,1
2026-01-17,447105660,1488365430,122480,867,1,7350,32,2495,9,1201,2,867,1
2026-01-18,447980440,1488760980,122522,870,3,7395,45,2506,11,1204,3,870,3
2026-01-19,447610115,1489010220,122560,871,1,7372,-23,2512,6,1206,2,871,1
2026-01-20,447030800,1489305660,122598,872,1,7340,-32,2520,8,1209,3,872,1
2026-01-21,447820450,1489700880,122645,874,2,7365,25,2528,8,1212,3,874,2
2026-01-22,448505990,1490080540,122690,876,2,7402,37,2540,12,1215,3,876,2
2026-01-23,449210335,1490470110,122730,878,2,7440,38,2551,11,1218,3,878,2
2026-01-24,450010660,1490885770,122772,880,2,7486,46,2564,13,1223,5,880,2
2026-01-25,450880120,1491320450,122820,883,3,7540,54,2578,14,1227,4,883,3
2026-01-26,450320775,1491610220,122860,884,1,7515,-25,2586,8,1229,2,884,1
2026-01-27,449605110,1491955880,122905,885,1,7472,-43,2592,6,1231,2,885,1
2026-01-28,449010560,1492315450,122950,886,1,7445,-27,2600,8,1234,3,886,1
2026-01-29,448220335,1492700880,122998,887,1,7402,-43,2608,8,1236,2,887,1
2026-01-30,446105220,1492990340,123040,884,-3,7285,-117,2585,-23,1228,-8,884,-3
2026-01-31,445610885,1493265600,123080,883,-1,7260,-25,2580,-5,1226,-2,883,-1
2026-02-01,446320240,1493655710,123115,884,1,7295,35,2588,8,1228,2,884,1
2026-02-02,447010660,1494020880,123160,886,2,7340,45,2598,10,1231,3,886,2
2026-02-03,447820115,1494455600,123205,887,1,7388,48,2610,12,1235,4,887,1
2026-02-04,448610335,1494845230,123248,889,2,7430,42,2620,10,1238,3,889,2
2026-02-05,448210560,1495090340,123285,890,1,7405,-25,2628,8,1240,2,890,1
2026-02-06,447590775,1495420450,123320,891,1,7368,-37,2635,7,1242,2,891,1
2026-02-07,448320110,1495820560,123360,893,2,7395,27,2642,7,1244,2,893,2
2026-02-08,449110560,1496210220,123402,895,2,7440,45,2654,12,1247,3,895,2
2026-02-09,448750335,1496455330,123440,896,1,7415,-25,2660,6,1248,1,896,1
2026-02-10,448210660,1496770880,123478,897,1,7388,-27,2668,8,1250,2,897,1
2026-02-11,449010885,1497155600,123520,899,2,7420,32,2676,8,1253,3,899,2
2026-02-12,449705240,1497530110,123560,901,2,7455,35,2686,10,1256,3,901,2
2026-02-13,450520775,1497920340,123605,903,2,7502,47,2698,12,1260,4,903,2
2026-02-14,451405110,1498365430,123652,905,2,7550,48,2712,14,1264,4,905,2
2026-02-15,448990560,1498690340,123690,903,-2,7430,-120,2690,-22,1255,-9,903,-2
2026-02-16,449420335,1499010220,123730,904,1,7445,15,2695,5,1256,1,904,1
2026-02-17,450115775,1499420450,123772,905,1,7475,30,2704,9,1258,2,905,1
2026-02-18,450990240,1499820560,123815,907,2,7520,45,2716,12,1261,3,907,2
2026-02-19,450620115,1500080540,123850,908,1,7495,-25,2722,6,1263,2,908,1
2026-02-20,450030800,1500365430,123892,909,1,7468,-27,2730,8,1265,2,909,1
2026-02-21,450820450,1500770880,123940,911,2,7498,30,2740,10,1268,3,911,2
2026-02-22,451505990,1501155600,123980,913,2,7535,37,2752,12,1271,3,913,2
2026-02-23,452210335,1501540770,124020,915,2,7575,40,2764,12,1275,4,915,2
2026-02-24,452980660,1501955880,124065,917,2,7620,45,2776,12,1279,4,917,2
